electorate,party,party_vote,candidate,candidate_vote,votes_counted,total_votes
Tāmaki ,Advance NZ,117,,,100.0,34319
Tāmaki ,Aotearoa Legalise Cannabis Party,35,,,100.0,34319
Tāmaki ,HeartlandNZ,3,,,100.0,34319
Tāmaki ,Māori Party,85,,,100.0,34319
Tāmaki ,NZ Outdoors Party,9,,,100.0,34319
Tāmaki ,New Zealand First Party,562,,,100.0,34319
Tāmaki ,ONE Party,27,,,100.0,34319
Tāmaki ,Social Credit,3,,,100.0,34319
Tāmaki ,Sustainable New Zealand Party,24,,,100.0,34319
Tāmaki ,TEA Party,53,,,100.0,34319
Tāmaki ,The Opportunities Party (TOP),407,,,100.0,34319
Tāmaki ,Vision New Zealand,14,,,100.0,34319
Taranaki-King Country ,NZ Outdoors Party,93,"GREY, Christopher",666,100.0,34155
Taranaki-King Country ,National Party,12806,"KURIGER, Barbara",16281,100.0,34155
Taranaki-King Country ,ACT New Zealand,4043,"MILES, Brent",1966,100.0,34155
Taranaki-King Country ,Labour Party,12469,"ROBERTS, Angela",12649,100.0,34155
Taranaki-King Country ,New Conservative,964,"SMITH, Lee Anne",1868,100.0,34155
Taranaki-King Country ,Advance NZ,389,,,100.0,34155
Taranaki-King Country ,Aotearoa Legalise Cannabis Party,87,,,100.0,34155
Taranaki-King Country ,Green Party,1502,,,100.0,34155
Taranaki-King Country ,HeartlandNZ,7,,,100.0,34155
Taranaki-King Country ,Māori Party,136,,,100.0,34155
Taranaki-King Country ,New Zealand First Party,963,,,100.0,34155
Taranaki-King Country ,ONE Party,48,,,100.0,34155
Taranaki-King Country ,Social Credit,20,,,100.0,34155
Taranaki-King Country ,Sustainable New Zealand Party,21,,,100.0,34155
Taranaki-King Country ,TEA Party,12,,,100.0,34155
Taranaki-King Country ,The Opportunities Party (TOP),363,,,100.0,34155
Taranaki-King Country ,Vision New Zealand,20,,,100.0,34155
Taupō ,Labour Party,16558,"AL-BUSTANJI, Ala'",13392,100.0,37772
Taupō ,ONE Party,143,"COFFIN, Gary Michael",337,100.0,37772
Taupō ,NZ Outdoors Party,98,"DOWNARD, Micheal",526,100.0,37772
Taupō ,ACT New Zealand,3889,"FREEMAN, David",1519,100.0,37772
Taupō ,Green Party,1325,"GLENDINING, Danna",1570,100.0,37772
Taupō ,,,"JAMES, Antoinette",419,100.0,37772
Taupō ,New Conservative,591,"QUINN, Jan-Marie",533,100.0,37772
Taupō ,National Party,12781,"UPSTON, Louise",18646,100.0,37772
Taupō ,Advance NZ,378,,,100.0,37772
Taupō ,Aotearoa Legalise Cannabis Party,109,,,100.0,37772
Taupō ,HeartlandNZ,2,,,100.0,37772
Taupō ,Māori Party,112,,,100.0,37772
Taupō ,New Zealand First Party,1050,,,100.0,37772
Taupō ,Social Credit,14,,,100.0,37772
Taupō ,Sustainable New Zealand Party,18,,,100.0,37772
Taupō ,TEA Party,10,,,100.0,37772
Taupō ,The Opportunities Party (TOP),477,,,100.0,37772
Taupō ,Vision New Zealand,15,,,100.0,37772
Tauranga ,National Party,12563,"BRIDGES, Simon",16523,97.3,37116
Tauranga ,The Opportunities Party (TOP),656,"CAIE, Andrew",734,97.3,37116
Tauranga ,,,"CAPAMAGIAN, James",64,97.3,37116
Tauranga ,Green Party,1884,"COLE, Josh",1363,97.3,37116
Tauranga ,,,"CROSA, Daniel Armando",343,97.3,37116
Tauranga ,New Zealand First Party,1400,"HARVEY, Erika",1182,97.3,37116
Tauranga ,New Conservative,915,"HIGNETT, Paul",629,97.3,37116
Tauranga ,,,"LAMARE, Yvette",46,97.3,37116
Tauranga ,NZ Outdoors Party,39,"LIVINGSTON, Tracy",142,97.3,37116
Tauranga ,ACT New Zealand,3476,"LUXTON, Cameron",1492,97.3,37116
Tauranga ,Labour Party,15169,"TINETTI, Jan",14054,97.3,37116
Tauranga ,Advance NZ,386,,,97.3,37116
Tauranga ,Aotearoa Legalise Cannabis Party,78,,,97.3,37116
Tauranga ,HeartlandNZ,3,,,97.3,37116
Tauranga ,Māori Party,109,,,97.3,37116
Tauranga ,ONE Party,74,,,97.3,37116
Tauranga ,Social Credit,10,,,97.3,37116
Tauranga ,Sustainable New Zealand Party,26,,,97.3,37116
Tauranga ,TEA Party,7,,,97.3,37116
Tauranga ,Vision New Zealand,34,,,97.3,37116
Te Atatū ,TEA Party,91,"AMOAH, Frank",188,100.0,31355
Te Atatū ,ACT New Zealand,1676,"COURT, Simon",1349,100.0,31355
Te Atatū ,Green Party,1990,"HINDMAN, Scott",1543,100.0,31355
Te Atatū ,The Opportunities Party (TOP),323,"MONK, Brendon",431,100.0,31355
Te Atatū ,National Party,7319,"NGARO, Alfred",9121,100.0,31355
Te Atatū ,New Conservative,435,"PASEKA, Okusitino",332,100.0,31355
Te Atatū ,Labour Party,17644,"TWYFORD, Phil",17345,100.0,31355
Te Atatū ,Advance NZ,188,,,100.0,31355
Te Atatū ,Aotearoa Legalise Cannabis Party,64,,,100.0,31355
Te Atatū ,HeartlandNZ,58,,,100.0,31355
Te Atatū ,Māori Party,183,,,100.0,31355
Te Atatū ,NZ Outdoors Party,19,,,100.0,31355
Te Atatū ,New Zealand First Party,817,,,100.0,31355
Te Atatū ,ONE Party,93,,,100.0,31355
Te Atatū ,Social Credit,11,,,100.0,31355
Te Atatū ,Sustainable New Zealand Party,22,,,100.0,31355
Te Atatū ,Vision New Zealand,17,,,100.0,31355
Tukituki ,ACT New Zealand,3321,"DAFFERN, Jan",918,100.0,36414
Tukituki ,Labour Party,17166,"LORCK, Anna",16427,100.0,36414
Tukituki ,New Conservative,785,"McMINN-COLLARD, Nick",587,100.0,36414
Tukituki ,Aotearoa Legalise Cannabis Party,127,"MANNING, Romana (Marnz)",357,100.0,36414
Tukituki ,Green Party,1827,"PERLEY, Chris",1409,100.0,36414
Tukituki ,,,"PETERSON, Carl",264,100.0,36414
Tukituki ,ONE Party,89,"PETROWSKI, Melanie Lorraine",157,100.0,36414
Tukituki ,,,"TOSH, Allister David",40,100.0,36414
Tukituki ,National Party,11221,"YULE, Lawrence",15655,100.0,36414
Tukituki ,Advance NZ,314,,,100.0,36414
Tukituki ,HeartlandNZ,5,,,100.0,36414
Tukituki ,Māori Party,132,,,100.0,36414
Tukituki ,NZ Outdoors Party,26,,,100.0,36414
Tukituki ,New Zealand First Party,757,,,100.0,36414
Tukituki ,Social Credit,20,,,100.0,36414
Tukituki ,Sustainable New Zealand Party,23,,,100.0,36414
Tukituki ,TEA Party,3,,,100.0,36414
Tukituki ,The Opportunities Party (TOP),343,,,100.0,36414
Tukituki ,Vision New Zealand,12,,,100.0,36414
Upper Harbour ,National Party,10489,"BEZZANT, Jake",12727,100.0,32773
Upper Harbour ,ACT New Zealand,2642,"CHHOUR, Karen",1437,100.0,32773
Upper Harbour ,NZ Outdoors Party,18,"GIORZA, Catherine",117,100.0,32773
Upper Harbour ,Green Party,1679,"NICHOLLS, Ryan",1832,100.0,32773
Upper Harbour ,New Conservative,640,"SOARES, Bernadette",1083,100.0,32773
Upper Harbour ,TEA Party,102,"TAN, Winson",319,100.0,32773
Upper Harbour ,Sustainable New Zealand Party,36,"THOMAS, Dion",93,100.0,32773
Upper Harbour ,,,"VAUGHAN, Peter",226,100.0,32773
Upper Harbour ,Labour Party,15250,"WALTERS, Vanushi",14142,100.0,32773
Upper Harbour ,Advance NZ,182,,,100.0,32773
Upper Harbour ,Aotearoa Legalise Cannabis Party,86,,,100.0,32773
Upper Harbour ,HeartlandNZ,140,,,100.0,32773
Upper Harbour ,Māori Party,125,,,100.0,32773
Upper Harbour ,New Zealand First Party,625,,,100.0,32773
Upper Harbour ,ONE Party,62,,,100.0,32773
Upper Harbour ,Social Credit,5,,,100.0,32773
Upper Harbour ,The Opportunities Party (TOP),425,,,100.0,32773
Upper Harbour ,Vision New Zealand,14,,,100.0,32773
Waikato ,New Conservative,881,"ANSELL, Caleb John",1294,100.0,34860
Waikato ,Labour Party,13434,"LEONI, Kerrin",12868,100.0,34860
Waikato ,ACT New Zealand,3777,"McDOWALL, James",1703,100.0,34860
Waikato ,National Party,13472,"VAN DE MOLEN, Tim",18255,100.0,34860
Waikato ,Advance NZ,261,,,100.0,34860
Waikato ,Aotearoa Legalise Cannabis Party,101,,,100.0,34860
Waikato ,Green Party,1114,,,100.0,34860
Waikato ,HeartlandNZ,13,,,100.0,34860
Waikato ,Māori Party,97,,,100.0,34860
Waikato ,NZ Outdoors Party,26,,,100.0,34860
Waikato ,New Zealand First Party,957,,,100.0,34860
Waikato ,ONE Party,63,,,100.0,34860
Waikato ,Social Credit,16,,,100.0,34860
Waikato ,Sustainable New Zealand Party,17,,,100.0,34860
Waikato ,TEA Party,8,,,100.0,34860
Waikato ,The Opportunities Party (TOP),395,,,100.0,34860
Waikato ,Vision New Zealand,26,,,100.0,34860
Waimakariri ,New Conservative,1235,"BAKER, Leighton",1817,100.0,40859
Waimakariri ,ACT New Zealand,3820,"DAVIES, James",1094,100.0,40859
Waimakariri ,National Party,11714,"DOOCEY, Matt",19236,100.0,40859
Waimakariri ,Sustainable New Zealand Party,43,"HYNDMAN, John",308,100.0,40859
Waimakariri ,Social Credit,37,"McISAAC, Lawrence",115,100.0,40859
Waimakariri ,,,"RICHARDSON, Shelley",252,100.0,40859
Waimakariri ,Labour Party,20213,"ROSEWARNE, Dan",17260,100.0,40859
Waimakariri ,,,"SADLER, Bjorn",148,100.0,40859
Waimakariri ,Advance NZ,254,,,100.0,40859
Waimakariri ,Aotearoa Legalise Cannabis Party,111,,,100.0,40859
Waimakariri ,Green Party,1771,,,100.0,40859
Waimakariri ,HeartlandNZ,10,,,100.0,40859
Waimakariri ,Māori Party,61,,,100.0,40859
Waimakariri ,NZ Outdoors Party,29,,,100.0,40859
Waimakariri ,New Zealand First Party,875,,,100.0,40859
Waimakariri ,ONE Party,42,,,100.0,40859
Waimakariri ,TEA Party,12,,,100.0,40859
Waimakariri ,The Opportunities Party (TOP),338,,,100.0,40859
Waimakariri ,Vision New Zealand,16,,,100.0,40859
Wairarapa ,National Party,11932,"BUTTERICK, Mike",14108,100.0,39903
Wairarapa ,New Conservative,577,"BUTTERWORTH, Warren",502,100.0,39903
Wairarapa ,,,"GRAY, Nigel Antony",356,100.0,39903
Wairarapa ,ACT New Zealand,3743,"GREENSLADE, Roger",910,100.0,39903
Wairarapa ,,,"HAEATA, Aileen",72,100.0,39903
Wairarapa ,Labour Party,18915,"McANULTY, Kieran",19519,100.0,39903
Wairarapa ,New Zealand First Party,1364,"MARK, Ron",2884,100.0,39903
Wairarapa ,Green Party,1959,"WADE-BROWN, Celia",993,100.0,39903
Wairarapa ,Advance NZ,382,,,100.0,39903
Wairarapa ,Aotearoa Legalise Cannabis Party,112,,,100.0,39903
Wairarapa ,HeartlandNZ,2,,,100.0,39903
Wairarapa ,Māori Party,99,,,100.0,39903
Wairarapa ,NZ Outdoors Party,42,,,100.0,39903
Wairarapa ,ONE Party,117,,,100.0,39903
Wairarapa ,Social Credit,6,,,100.0,39903
Wairarapa ,Sustainable New Zealand Party,7,,,100.0,39903
Wairarapa ,TEA Party,4,,,100.0,39903
Wairarapa ,The Opportunities Party (TOP),403,,,100.0,39903
Wairarapa ,Vision New Zealand,9,,,100.0,39903
Waitaki ,New Conservative,739,"ALLAN, Troy",742,100.0,38985
Waitaki ,ACT New Zealand,4555,"BEAMISH, Sean",1562,100.0,38985
Waitaki ,National Party,12330,"DEAN, Jacqui",17615,100.0,38985
Waitaki ,Green Party,2049,"KIURU, Sampsa",1965,100.0,38985
Waitaki ,Sustainable New Zealand Party,53,"MOWAT-GAINSFORD, Brian Clifford",164,100.0,38985
Waitaki ,New Zealand First Party,798,"ODERING, Anthony Vickers",475,100.0,38985
Waitaki ,,,"PENNYCOOK, Heather Meri",507,100.0,38985
Waitaki ,,,"SHAND, Daniel",887,100.0,38985
Waitaki ,Labour Party,17058,"WAIREPO, Liam",14470,100.0,38985
Waitaki ,Advance NZ,381,,,100.0,38985
Waitaki ,Aotearoa Legalise Cannabis Party,129,,,100.0,38985
Waitaki ,HeartlandNZ,2,,,100.0,38985
Waitaki ,Māori Party,43,,,100.0,38985
Waitaki ,NZ Outdoors Party,58,,,100.0,38985
Waitaki ,ONE Party,65,,,100.0,38985
Waitaki ,Social Credit,5,,,100.0,38985
Waitaki ,TEA Party,8,,,100.0,38985
Waitaki ,The Opportunities Party (TOP),459,,,100.0,38985
Waitaki ,Vision New Zealand,10,,,100.0,38985
Wellington Central ,Aotearoa Legalise Cannabis Party,69,"APPLEBY, Michael George",238,94.6,38010
Wellington Central ,NZ Outdoors Party,19,"BRUCE, Robert",52,94.6,38010
Wellington Central ,The Opportunities Party (TOP),1391,"GRAY, Abe",806,94.6,38010
Wellington Central ,,,"GREALLY, Rose",76,94.6,38010
Wellington Central ,,,"RICHARDSON, Jesse",315,94.6,38010
Wellington Central ,New Conservative,166,"RICHFIELD, Liam",173,94.6,38010
Wellington Central ,Labour Party,16184,"ROBERTSON, Grant",21977,94.6,38010
Wellington Central ,Green Party,11675,"SHAW, James",6262,94.6,38010
Wellington Central ,ONE Party,42,"SUNDERLAND, Gina",62,94.6,38010
Wellington Central ,ACT New Zealand,1887,"van VELDEN, Brooke",676,94.6,38010
Wellington Central ,National Party,5718,"WILLIS, Nicola",7061,94.6,38010
Wellington Central ,Advance NZ,68,,,94.6,38010
Wellington Central ,HeartlandNZ,1,,,94.6,38010
Wellington Central ,Māori Party,195,,,94.6,38010
Wellington Central ,New Zealand First Party,424,,,94.6,38010
Wellington Central ,Social Credit,17,,,94.6,38010
Wellington Central ,Sustainable New Zealand Party,27,,,94.6,38010
Wellington Central ,TEA Party,5,,,94.6,38010
Wellington Central ,Vision New Zealand,5,,,94.6,38010
West Coast-Tasman ,,,"AITKEN, Cory",180,100.0,38289
West Coast-Tasman ,New Conservative,652,"BARKLEY, Karl",517,100.0,38289
West Coast-Tasman ,Social Credit,75,"COLLIN, Jack",124,100.0,38289
West Coast-Tasman ,,,"EWEN, Peter",660,100.0,38289
West Coast-Tasman ,New Zealand First Party,1152,"FARRELLY, Jackie",593,100.0,38289
West Coast-Tasman ,,,"FITZSIMON, Anne",572,100.0,38289
West Coast-Tasman ,ACT New Zealand,3807,"GARDNER, William Stuart",1251,100.0,38289
West Coast-Tasman ,NZ Outdoors Party,193,"KING, Luke",524,100.0,38289
West Coast-Tasman ,Labour Party,17859,"O'CONNOR, Damien",18275,100.0,38289
West Coast-Tasman ,,,"OSMASTON, Richard",47,100.0,38289
West Coast-Tasman ,National Party,9974,"PUGH, Maureen",13208,100.0,38289
West Coast-Tasman ,Green Party,2956,"RICHARDS, Steve",1826,100.0,38289
West Coast-Tasman ,Advance NZ,598,,,100.0,38289
West Coast-Tasman ,Aotearoa Legalise Cannabis Party,156,,,100.0,38289
West Coast-Tasman ,HeartlandNZ,5,,,100.0,38289
West Coast-Tasman ,Māori Party,69,,,100.0,38289
West Coast-Tasman ,ONE Party,54,,,100.0,38289
West Coast-Tasman ,Sustainable New Zealand Party,28,,,100.0,38289
West Coast-Tasman ,TEA Party,5,,,100.0,38289
West Coast-Tasman ,The Opportunities Party (TOP),453,,,100.0,38289
West Coast-Tasman ,Vision New Zealand,14,,,100.0,38289
Whanganui ,Green Party,1613,"CLAY, Alan",1118,99.1,35894
Whanganui ,National Party,9620,"HIPANGO, Harete",12638,99.1,35894
Whanganui ,,,"KIEFT, Hillary",302,99.1,35894
Whanganui ,Labour Party,18398,"LEWIS, Steph",19459,99.1,35894
Whanganui ,New Conservative,591,"MARSHALL, Jonathan",682,99.1,35894
Whanganui ,Social Credit,59,"SMITH, Heather Marion",168,99.1,35894
Whanganui ,,,"WEBER, Charlotte",620,99.1,35894
Whanganui ,ACT New Zealand,2950,,,99.1,35894
Whanganui ,Advance NZ,418,,,99.1,35894
Whanganui ,Aotearoa Legalise Cannabis Party,122,,,99.1,35894
Whanganui ,HeartlandNZ,0,,,99.1,35894
Whanganui ,Māori Party,179,,,99.1,35894
Whanganui ,NZ Outdoors Party,32,,,99.1,35894
Whanganui ,New Zealand First Party,1204,,,99.1,35894
Whanganui ,ONE Party,166,,,99.1,35894
Whanganui ,Sustainable New Zealand Party,19,,,99.1,35894
Whanganui ,TEA Party,4,,,99.1,35894
Whanganui ,The Opportunities Party (TOP),308,,,99.1,35894
Whanganui ,Vision New Zealand,7,,,99.1,35894
Whangaparāoa ,NZ Outdoors Party,30,"CHEEL, Tricia",292,100.0,38121
Whangaparāoa ,Sustainable New Zealand Party,52,"DAVIES, John",444,100.0,38121
Whangaparāoa ,Labour Party,14805,"FERGUSON, Lorayne Frances",13047,100.0,38121
Whangaparāoa ,,,"FLAY, Kathryn",491,100.0,38121
Whangaparāoa ,ACT New Zealand,4152,"GRACE, Paul",1390,100.0,38121
Whangaparāoa ,New Conservative,863,"MACKENZIE, Fiona",1231,100.0,38121
Whangaparāoa ,National Party,14536,"MITCHELL, Mark",20687,100.0,38121
Whangaparāoa ,Advance NZ,400,,,100.0,38121
Whangaparāoa ,Aotearoa Legalise Cannabis Party,72,,,100.0,38121
Whangaparāoa ,Green Party,1688,,,100.0,38121
Whangaparāoa ,HeartlandNZ,3,,,100.0,38121
Whangaparāoa ,Māori Party,51,,,100.0,38121
Whangaparāoa ,New Zealand First Party,820,,,100.0,38121
Whangaparāoa ,ONE Party,47,,,100.0,38121
Whangaparāoa ,Social Credit,10,,,100.0,38121
Whangaparāoa ,TEA Party,34,,,100.0,38121
Whangaparāoa ,The Opportunities Party (TOP),414,,,100.0,38121
Whangaparāoa ,Vision New Zealand,5,,,100.0,38121
Whangārei ,Green Party,2266,"ARMSTRONG, Moea",1238,96.4,38389
Whangārei ,New Conservative,713,"CAMPBELL, Kerry",468,96.4,38389
Whangārei ,Aotearoa Legalise Cannabis Party,170,"de JONGE, Jennifer",407,96.4,38389
Whangārei ,Labour Party,17813,"HENDERSON, Emily",15405,96.4,38389
Whangārei ,Social Credit,119,"LEITCH, Chris",320,96.4,38389
Whangārei ,National Party,10381,"RETI, Shane",15585,96.4,38389
Whangārei ,ACT New Zealand,3214,"SEYMOUR, David",1812,96.4,38389
Whangārei ,The Opportunities Party (TOP),551,"SWORDS, Ciara",589,96.4,38389
Whangārei ,ONE Party,203,"WATTS, Daniel",238,96.4,38389
Whangārei ,,,"WETERE, Chris",519,96.4,38389
Whangārei ,New Zealand First Party,1999,"WILSON, David Ashley",1310,96.4,38389
Whangārei ,Advance NZ,537,,,96.4,38389
Whangārei ,HeartlandNZ,4,,,96.4,38389
Whangārei ,Māori Party,109,,,96.4,38389
Whangārei ,NZ Outdoors Party,33,,,96.4,38389
Whangārei ,Sustainable New Zealand Party,22,,,96.4,38389
Whangārei ,TEA Party,8,,,96.4,38389
Whangārei ,Vision New Zealand,27,,,96.4,38389
Wigram ,,,"ALLINGTON, Douglas John",233,100.0,32460
Wigram ,National Party,7033,"CAMPBELL, Hamish",7987,100.0,32460
Wigram ,,,"HANSEN, Tubby",58,100.0,32460
Wigram ,Social Credit,28,"LANDRETH, Deane",57,100.0,32460
Wigram ,ACT New Zealand,1906,"McCONWAY, Miles Jacin",885,100.0,32460
Wigram ,ONE Party,125,"McLAUGHLIN, Linda",186,100.0,32460
Wigram ,,,"McTAGUE, Geoff",65,100.0,32460
Wigram ,New Conservative,527,"NUTTALL, Averil",515,100.0,32460
Wigram ,Green Party,2914,"WESLEY, Richard",1488,100.0,32460
Wigram ,Labour Party,17653,"WOODS, Megan",20371,100.0,32460
Wigram ,Advance NZ,202,,,100.0,32460
Wigram ,Aotearoa Legalise Cannabis Party,107,,,100.0,32460
Wigram ,HeartlandNZ,2,,,100.0,32460
Wigram ,Māori Party,85,,,100.0,32460
Wigram ,NZ Outdoors Party,23,,,100.0,32460
Wigram ,New Zealand First Party,693,,,100.0,32460
Wigram ,Sustainable New Zealand Party,15,,,100.0,32460
Wigram ,TEA Party,31,,,100.0,32460
Wigram ,The Opportunities Party (TOP),793,,,100.0,32460
Wigram ,Vision New Zealand,11,,,100.0,32460
Hauraki-Waikato ,New Conservative,73,"HILL, Richard",324,100.0,17524
Hauraki-Waikato ,,,"LAMBERT, Phillip Stephen",592,100.0,17524
Hauraki-Waikato ,Labour Party,11333,"MAHUTA, Nanaia",11763,100.0,17524
Hauraki-Waikato ,Māori Party,1986,"POKERE-PHILLIPS, Donna",4228,100.0,17524
Hauraki-Waikato ,ACT New Zealand,243,,,100.0,17524
Hauraki-Waikato ,Advance NZ,431,,,100.0,17524
Hauraki-Waikato ,Aotearoa Legalise Cannabis Party,251,,,100.0,17524
Hauraki-Waikato ,Green Party,1101,,,100.0,17524
Hauraki-Waikato ,HeartlandNZ,16,,,100.0,17524
Hauraki-Waikato ,NZ Outdoors Party,38,,,100.0,17524
Hauraki-Waikato ,National Party,671,,,100.0,17524
Hauraki-Waikato ,New Zealand First Party,648,,,100.0,17524
Hauraki-Waikato ,ONE Party,41,,,100.0,17524
Hauraki-Waikato ,Social Credit,3,,,100.0,17524
Hauraki-Waikato ,Sustainable New Zealand Party,5,,,100.0,17524
Hauraki-Waikato ,TEA Party,0,,,100.0,17524
Hauraki-Waikato ,The Opportunities Party (TOP),173,,,100.0,17524
Hauraki-Waikato ,Vision New Zealand,193,,,100.0,17524
Ikaroa-Rāwhiti ,New Conservative,83,"HILL, Melissa",199,99.8,19660
Ikaroa-Rāwhiti ,Green Party,1219,"KEREKERE, Elizabeth",1535,99.8,19660
Ikaroa-Rāwhiti ,,,"KUPENGA, Waitangi",579,99.8,19660
Ikaroa-Rāwhiti ,Māori Party,2266,"TE AU-SKIPWORTH, Heather",5781,99.8,19660
Ikaroa-Rāwhiti ,NZ Outdoors Party,39,"THURSTON, Kelly",150,99.8,19660
Ikaroa-Rāwhiti ,Labour Party,13246,"WHAITIRI, Meka",10833,99.8,19660
Ikaroa-Rāwhiti ,ACT New Zealand,165,,,99.8,19660
Ikaroa-Rāwhiti ,Advance NZ,452,,,99.8,19660
Ikaroa-Rāwhiti ,Aotearoa Legalise Cannabis Party,254,,,99.8,19660
Ikaroa-Rāwhiti ,HeartlandNZ,2,,,99.8,19660
Ikaroa-Rāwhiti ,National Party,436,,,99.8,19660
Ikaroa-Rāwhiti ,New Zealand First Party,756,,,99.8,19660
Ikaroa-Rāwhiti ,ONE Party,127,,,99.8,19660
Ikaroa-Rāwhiti ,Social Credit,3,,,99.8,19660
Ikaroa-Rāwhiti ,Sustainable New Zealand Party,6,,,99.8,19660
Ikaroa-Rāwhiti ,TEA Party,2,,,99.8,19660
Ikaroa-Rāwhiti ,The Opportunities Party (TOP),139,,,99.8,19660
Ikaroa-Rāwhiti ,Vision New Zealand,103,,,99.8,19660
Tāmaki Makaurau ,New Conservative,104,"ANDERSON, Erina",307,97.1,18874
Tāmaki Makaurau ,Green Party,2043,"DAVIDSON, Marama",3612,97.1,18874
Tāmaki Makaurau ,Labour Party,11390,"HENARE, Peeni",7652,97.1,18874
Tāmaki Makaurau ,Māori Party,2338,"TAMIHERE, John",6766,97.1,18874
Tāmaki Makaurau ,ACT New Zealand,201,,,97.1,18874
Tāmaki Makaurau ,Advance NZ,311,,,97.1,18874
Tāmaki Makaurau ,Aotearoa Legalise Cannabis Party,184,,,97.1,18874
Tāmaki Makaurau ,HeartlandNZ,68,,,97.1,18874
Tāmaki Makaurau ,NZ Outdoors Party,12,,,97.1,18874
Tāmaki Makaurau ,National Party,611,,,97.1,18874
Tāmaki Makaurau ,New Zealand First Party,819,,,97.1,18874
Tāmaki Makaurau ,ONE Party,39,,,97.1,18874
Tāmaki Makaurau ,Social Credit,4,,,97.1,18874
Tāmaki Makaurau ,Sustainable New Zealand Party,7,,,97.1,18874
Tāmaki Makaurau ,TEA Party,3,,,97.1,18874
Tāmaki Makaurau ,The Opportunities Party (TOP),201,,,97.1,18874
Tāmaki Makaurau ,Vision New Zealand,248,,,97.1,18874
Te Tai Hauāuru ,,,"APIATA, Noeline",531,99.2,19411
Te Tai Hauāuru ,ONE Party,154,"BAILEY-TAURUA, Korrallie",247,99.2,19411
Te Tai Hauāuru ,NZ Outdoors Party,29,"McKEE, Kiri",224,99.2,19411
Te Tai Hauāuru ,New Conservative,65,"MORGAN, Joshua",190,99.2,19411
Te Tai Hauāuru ,Māori Party,2903,"NGAREWA-PACKER, Debbie",8310,99.2,19411
Te Tai Hauāuru ,Labour Party,12096,"RURAWHE, Adrian",9431,99.2,19411
Te Tai Hauāuru ,ACT New Zealand,230,,,99.2,19411
Te Tai Hauāuru ,Advance NZ,462,,,99.2,19411
Te Tai Hauāuru ,Aotearoa Legalise Cannabis Party,268,,,99.2,19411
Te Tai Hauāuru ,Green Party,1263,,,99.2,19411
Te Tai Hauāuru ,HeartlandNZ,15,,,99.2,19411
Te Tai Hauāuru ,National Party,599,,,99.2,19411
Te Tai Hauāuru ,New Zealand First Party,718,,,99.2,19411
Te Tai Hauāuru ,Social Credit,5,,,99.2,19411
Te Tai Hauāuru ,Sustainable New Zealand Party,4,,,99.2,19411
Te Tai Hauāuru ,TEA Party,3,,,99.2,19411
Te Tai Hauāuru ,The Opportunities Party (TOP),204,,,99.2,19411
Te Tai Hauāuru ,Vision New Zealand,75,,,99.2,19411
Te Tai Tokerau ,ONE Party,204,"ARAHANGA-EPIHA, Janice",320,98.8,20235
Te Tai Tokerau ,Labour Party,12288,"DAVIS, Kelvin",11509,98.8,20235
Te Tai Tokerau ,,,"DEARLOVE, Clinton",208,98.8,20235
Te Tai Tokerau ,Aotearoa Legalise Cannabis Party,472,"HERBERT, Maki",1381,98.8,20235
Te Tai Tokerau ,Māori Party,1984,"KAPA-KINGI, Mariameno",4976,98.8,20235
Te Tai Tokerau ,,,"MOHOAWHENUA, Moemoea",81,98.8,20235
Te Tai Tokerau ,New Conservative,90,"SHORTLAND, Daniel",217,98.8,20235
Te Tai Tokerau ,,,"TE KAHIKA, Billy",971,98.8,20235
Te Tai Tokerau ,ACT New Zealand,272,,,98.8,20235
Te Tai Tokerau ,Advance NZ,512,,,98.8,20235
Te Tai Tokerau ,Green Party,1462,,,98.8,20235
Te Tai Tokerau ,HeartlandNZ,69,,,98.8,20235
Te Tai Tokerau ,NZ Outdoors Party,26,,,98.8,20235
Te Tai Tokerau ,National Party,724,,,98.8,20235
Te Tai Tokerau ,New Zealand First Party,1557,,,98.8,20235
Te Tai Tokerau ,Social Credit,2,,,98.8,20235
Te Tai Tokerau ,Sustainable New Zealand Party,5,,,98.8,20235
Te Tai Tokerau ,TEA Party,1,,,98.8,20235
Te Tai Tokerau ,The Opportunities Party (TOP),205,,,98.8,20235
Te Tai Tokerau ,Vision New Zealand,94,,,98.8,20235
Te Tai Tonga ,Māori Party,1838,"FERRIS, Tākuta",5485,99.5,21933
Te Tai Tonga ,Aotearoa Legalise Cannabis Party,340,"McDONALD, Anituhia Rebel",1129,99.5,21933
Te Tai Tonga ,Green Party,2597,"PARETUTANGANUI-TAMATI, Ariana",2466,99.5,21933
Te Tai Tonga ,,,"THOMS, Matiu",652,99.5,21933
Te Tai Tonga ,Labour Party,13056,"TIRIKATENE, Rino",11128,99.5,21933
Te Tai Tonga ,New Conservative,165,"TUHAKA, Raymond",467,99.5,21933
Te Tai Tonga ,ACT New Zealand,609,,,99.5,21933
Te Tai Tonga ,Advance NZ,416,,,99.5,21933
Te Tai Tonga ,HeartlandNZ,36,,,99.5,21933
Te Tai Tonga ,NZ Outdoors Party,38,,,99.5,21933
Te Tai Tonga ,National Party,1219,,,99.5,21933
Te Tai Tonga ,New Zealand First Party,787,,,99.5,21933
Te Tai Tonga ,ONE Party,65,,,99.5,21933
Te Tai Tonga ,Social Credit,8,,,99.5,21933
Te Tai Tonga ,Sustainable New Zealand Party,9,,,99.5,21933
Te Tai Tonga ,TEA Party,5,,,99.5,21933
